"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","QA Buddy","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases"
"Bug","36458","SF:163236, Window Sticker Issue-- Incorrect Information displaying","5","High","V-MAX-Engineers","","Customer Cases Backlog","04/28/16 09:57 PM","002:FLM","","Dan Webster","163236","","0","","0","0","","",""
"Bug","38662","Mobile Showroom Redesign SRP/VDP not displaying via Group DSR Selection","5","Medium","V-MAX-Engineers","","Customer Cases Backlog","02/27/17 08:45 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Bug","37079","ProfitMAX Logo for NEW Vehicles","1","Low","V-MAX-PRODUCT","","Customer Cases Backlog","07/05/16 03:41 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Feature","38049","SF:191497, Feature Request - Have Recall Units Display Recall Reset Date as Receive Date in TTM","13","High","V-MAX-Engineers","","Customer Cases Backlog","11/09/16 10:49 PM","002:FLM","","Dan Webster","191497","","0","","0","0","","",""
"Bug","32864","SF:115362, CarFax Needs Action Section not saving after VHR run","5","Low","V-MAX-Engineers","roadmap","Customer Cases Backlog","03/24/15 09:25 PM","002:FLM","","Bill Rogalla","115362","","0","","0","0","","",""
"Bug","38816","SF:212877, Carfax Not Working On One Car - JA32U8fW4BU031284","3","Medium","V-MAX-Engineers","","Customer Cases Backlog","03/22/17 07:52 PM","002:FLM","","Michael Morales","212877","","0","","0","0","","",""
"Bug","38420","SF:204123, Expired Auto-Load Credentials Not Popping Up Red Alert Bar / Window - Audi","8","Medium","V-MAX-PRODUCT","","Customer Cases Backlog","01/12/17 11:26 PM","002:FLM","","Michael Morales","204123","","0","","24","32","","",""
"Bug","36583","SF:165412, Custom Color Request for MFW Button - Volvo Compliance - Volvo of Charleston(Hendrick)","3","High","V-MAX-PRODUCT","","Customer Cases Backlog","05/10/16 07:21 PM","002:FLM","","Dan Webster","165412","","0","","0","0","","",""
"Bug","38553","SF:208793, DSR Inaccurate Reporting - SMS Text Messages","8","Medium","V-MAX-Engineers","","Customer Cases Backlog","02/08/17 07:53 PM","002:FLM","","Michael Morales","208793","","0","","0","0","","",""
"Bug","38567","SF:209474, Crews Subaru - Subaru Package Selection Problem","8","Medium","V-MAX-Engineers","","Customer Cases Backlog","02/13/17 05:07 PM","002:FLM","","Michael Morales","209474","","0","","0","0","","",""
