"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","QA Buddy","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases"
"Feature","39009","DSR ""send via email"" Updates","0","Medium","V-MAX-PRODUCT","","Features Backlog","04/19/17 08:36 PM","002:FLM","","","","","0","","0","0","","",""
"Feature","38778","SF:215511, New Car Pricing Enhancement- Ability to Discount By Percentage","0","Medium","V-MAX-PRODUCT","","Features Backlog","03/16/17 01:32 PM","002:FLM","","Michael Morales","215511","","0","","0","0","","",""
"Feature","38637","Research how to increase autoloads/enhanced decoding","5","Medium","V-MAX-Engineers","","Features Backlog","02/21/17 10:36 PM","002:FLM","","Kara Korte","","","0","","0","0","","",""
"Feature","34086","FL Appraisal App: Add the ability to edit already submitted appraisals","0","Medium","V-MAX-PRODUCT","","Features Backlog","08/12/15 06:58 PM","002:FLM","","Michelle Clay","","","0","","0","0","","",""
"Feature","34870","Scarcity Report","0","High","V-MAX-PRODUCT","","Features Backlog","11/30/15 10:16 PM","002:FLM","","Michelle Clay","","","0","","0","0","","",""
"Task","36024","Market Velocity Stocking Guide Updgrade","5","High","V-MAX-PRODUCT","","Features Backlog","03/14/16 02:17 PM","002:FLM","","Bill Rogalla","","","0","","6","6","","",""
"Feature","36519","Stocking Mix Guidance Report","0","Medium","V-MAX-PRODUCT","","Features Backlog","05/04/16 08:50 PM","002:FLM","","Kara Korte","","","0","","0","0","","",""
"Feature","37334","ProfitMAX Overall Override Setting  ","0","Medium","Bill Rogalla","","Features Backlog","07/29/16 07:00 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Task","37516","Make Market Velocity Stocking Guide (MVSG) no longer rely on PING data","0","Medium","Bill Rogalla","","Features Backlog","08/18/16 02:37 PM","002:FLM","","Kara Korte","","","0","","0","0","","",""
"Project","37660","Add the Ability to Apply Chrome Incentives to Invoice Cost","0","Medium","Bill Rogalla","","Features Backlog","09/14/16 04:58 PM","002:FLM","","Michelle C Clay","","","0","","0","0","","","37661,37662,37663,37664,37665,37666,37817,"
