"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Internal Defect","39135","NCP:  Car should be in two campaigns after reprocessing ","0","Medium","Karun Prasad","","First Look - MAX Digital","31.0","New Car","","05/04/17 09:12 PM","002:FLM","Christopher Norton","","","0","","0","0","","","","Active (Ready for Work)"
"Internal Task","38647","Test Loghost from AWS machines.","3","Medium","","","First Look - MAX Digital","31.1","Mobile Showroom","","02/23/17 08:17 PM","002:FLM","J. Travis Huber","","","0","","0","0","","","","Active (Ready For Work)"
"Internal Defect","39134","Price By Age Validation Text Change (UI)","0","Medium","V-MAX-Engineers","","First Look - MAX Digital","31.0","New Car","","05/04/17 06:48 PM","002:FLM","Bill Rogalla","","","0","","0","0","","","","Active (Ready for Work)"
"Task","39007","KBB Fair Purchase Price - Update FL valuation service to return FPP and FPP range values","0","Medium","Vivek Rane","","First Look - MAX Digital","31.1","Profit MAX","","04/19/17 03:28 PM","002:FLM","Akshai Rathore","","","0","","40","90","","","","Active (Work in Progress)"
"Internal Defect","39133","Exemption Light Box Text Change UI","0","Medium","V-MAX-Engineers","","First Look - MAX Digital","31.0","MAX Merchandising","","05/04/17 06:39 PM","002:FLM","Bill Rogalla","","","0","","0","0","","","","Active (Ready for Work)"
"Internal Defect","39132","Exemptions Report Text Changes (UI)","0","Medium","V-MAX-Engineers","","First Look - MAX Digital","31.0","MAX Reports","","05/04/17 06:26 PM","002:FLM","Bill Rogalla","","","0","","0","0","","","","Active (Ready for Work)"
"Project","38880","31.1 CUSTOMER CASES","0","Medium","V-MAX-PRODUCT","","First Look - MAX Digital","31.1","Misc","","03/29/17 07:22 PM","002:FLM","Joseph Laochaloenvanich","","","0","","0","0","","","34447,38912,38930,39102,","Planning"
"Internal Defect","39102","New Car Pricing: Object reference not set to an instance of an object notice","0","Medium","Karun Prasad","","First Look - MAX Digital","31.1","New Car","","05/01/17 07:48 PM","002:FLM","Inna Tulika","","","0","","0","0","","","","Active (Ready for Work)"
"Internal Defect","39130","Exemption Report: STA on changing vehicletype filter and Export","0","Medium","V-MAX-Review","","First Look - MAX Digital","31.0","MAX Reports","","05/04/17 11:31 AM","002:FLM","Deepa Ravishankar","","05/05/17 02:00 PM","0","","8","8","","","","Active (Work in Progress)"
"Internal Defect","39129","Exemption:  Inventory page incorrectly displays a Pending status","0","Medium","V-MAX-Review","UI","First Look - MAX Digital","31.0","MAX Reports","","05/04/17 09:30 AM","002:FLM","Deepa Ravishankar","","05/05/17 05:00 PM","0","","5","5","","","","Active (Work in Progress)"
