"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","QA Buddy","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases"
"Internal Task","38062","Solution and project maintenance","0","Medium","V-MAX-Architect","","Internal Backlog","11/11/16 05:00 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Bug","39000","Insufficient Permissions in batch get set to pending when should be -96","0","Medium","V-MAX-PRODUCT","autoload","Internal Backlog","04/18/17 04:25 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Internal Task","39047","CloudSearch Reconciler Revisit","0","Medium","V-MAX-Architect","","Internal Backlog","04/24/17 10:06 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Task","39024","Add SiteId column to the AutoloadStatus table","0","Medium","V-MAX-Engineers","","Internal Backlog","04/21/17 07:36 PM","002:FLM","","Darren Bokor","","","0","","0","0","","",""
"Internal Task","38915","Max Error: ""Task faulted but aggregate exception is null.""","5","Medium","V-MAX-Architect","Loggly","Internal Backlog","04/03/17 07:59 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Internal Task","39022","CPO Cleanup job is still doing work, and it shouldn't be.","0","Medium","V-MAX-Architect","","Internal Backlog","04/21/17 04:51 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","","39023,"
"Internal Task","39023","Drop CPO Cleanup job","0","Medium","V-MAX-Architect","","Internal Backlog","04/21/17 04:55 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Task","38998","AutoLoad Status Report by Scrape Site","0","Medium","Christopher Norton","autoload","Internal Backlog","04/17/17 09:46 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38740","OPRM: warning blurb on the admin page to clarify when the rule will take effect","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 09:55 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38739","OPRM:  Process to authorize rule implementation","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 09:42 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38738","OPRM: We need a way to track who created the rule and who last updated it","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 09:26 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38736","OPRM: Models should only show the last 10 years","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 08:48 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38734","OPRM: Set Package? default to checked","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 08:28 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38732","OPRM: Division must be required when creating a new rule","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 07:35 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38731","OPRM: do not allow Admin users to edit or Delete global rules","0","Medium","Bill Rogalla","option package","Internal Backlog","03/09/17 03:58 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Task","38993","Nissan Autoload: Invalid Account is returning as a ""unknown error""  when we should be locking credentials","0","Medium","V-MAX-PRODUCT","autoload","Internal Backlog","04/13/17 09:09 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Internal Task","39001","Inactive inventory still in pending status, should delete them from the als table","0","Medium","V-MAX-PRODUCT","autoload","Internal Backlog","04/18/17 04:57 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Bug","32105","Better handling of Autoload Statuses in a failed batch for Invalid Credentials","","Medium","Bill Rogalla","autoload","Internal Backlog","01/12/15 10:16 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Bug","38226","Fix CPO Benefit Ranks","0","Medium","V-MAX-Engineers","","Internal Backlog","12/10/16 06:43 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Bug","38589","Internal Issue- Orange County BMW - DSR is Deactivated but Store Is Still Showing in DSR","3","Medium","V-MAX-Engineers","","Internal Backlog","02/16/17 04:00 PM","002:FLM","","Michael Morales","","","0","","0","0","","",""
"Internal Defect","38661"," Options Package Rules Manager: Save Button 'Active' Indication","5","Medium","V-MAX-Engineers","DSR","Internal Backlog","02/27/17 08:14 PM","002:FLM","","Tim Muir","","","0","","0","0","","",""
"Task","38943","Publish Pricing Details with AdReleases","13","Medium","V-MAX-PRODUCT","","Internal Backlog","04/06/17 07:16 PM","002:FLM","","Kris Franken","","","0","","0","0","","",""
"Task","38957","User-Facing Password Reset Page","8","Medium","V-MAX-PRODUCT","","Internal Backlog","04/07/17 09:01 PM","002:FLM","","Kris Franken","","","0","","0","0","","",""
"Bug","38914","Max: ""GoogleAnalyticsGenerateTask0"" User does not have sufficient permissions for this profile Error","0","Medium","V-MAX-PRODUCT","Loggly","Internal Backlog","04/03/17 07:46 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Bug","38913","Max: ""Worker - Load All Inventory Data Thread starter0"" Error NullReferenceException","0","Medium","V-MAX-PRODUCT","Loggly","Internal Backlog","04/03/17 07:40 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Internal Task","38765","Update resharper settings for supported browsers","0","Medium","Daniel Hillis","","Internal Backlog","03/14/17 06:32 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Bug","38652","Max: Autoload - New BMW XML Scrapes Include Garbage ""Options"" Data","5","Medium","V-MAX-Engineers","","Internal Backlog","02/24/17 07:09 PM","002:FLM","","Tim Muir","","","0","","0","0","","",""
"Bug","38201","Mercedes Benz Autoload-Not Loading Options/Colors","0","Medium","V-MAX-Triage","","Internal Backlog","12/07/16 07:03 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Bug","37296","ProfitMAX Setting Default to Trim & Equipment Multiple Issues (Inventory)","5","Low","V-MAX-PRODUCT","","Internal Backlog","07/26/16 04:06 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Internal Task","38577","Add safety net code to Task and Scheduler services (re: AWS environment)","0","Medium","V-MAX-Architect","","Internal Backlog","02/15/17 03:23 PM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Task","38025","STD Report:  Stop using Parentheses to Denote Negative Amount","0","Low","V-MAX-PRODUCT","","Internal Backlog","11/04/16 07:45 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Internal Task","19356","Remove mobile and old snippet collector code","","Low","V-MAX-Engineers","","Internal Backlog","12/29/11 10:37 PM","002:FLM","","Zac Brown","","","0","","0","0","","",""
"Internal Task","20442","Remove remaining code related to the ""Missing Key Information"" filter.","","Low","V-MAX-Engineers","","Internal Backlog","03/21/12 03:40 PM","002:FLM","","Peter Stephens","","","0","","0","0","","",""
