"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","35327","SF:149060, MAX Digital Showroom Lead - Email Language Change Request","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","01/18/16 08:59 PM","200: Lolay","Bill Rogalla","149060","","0","","0","0","","","","Active (Needs Requirements)"
"Bug","35542","SF:150097, Images Not Loading From MAX Mobile App","0","Medium","David Ritter","webloader","Lolay Legacy","Lolay Backog","MAX Mobile Webloader","","02/01/16 07:51 PM","200: Lolay","Bill Rogalla","150097","","0","","0","0","","","","Active (Ready for Work)"
"Bug","38181","Max Mobile: UI issue when entering stock # on Search","0","Ground Level","V-MAX-PRODUCT","","Lolay Legacy","Undecided","MAX Mobile Webloader","","12/05/16 07:38 PM","200: Lolay","Inna Tulika","","","0","","0","0","","","","Active (Needs Priority)"
"Task","38538","Upgrade New Relic android integration in MAX Mobile Webloader","0","Medium","Bill Rogalla","webloader","Lolay Legacy","Undecided","MAX Mobile Webloader","","02/07/17 02:37 AM","200: Lolay","J. Travis Huber","","","0","","0","0","","","","Active (Needs Priority)"
"Task","38540","Upgrade New Relic ios integration in MAX Mobile Webloader","0","Medium","Bill Rogalla","webloader","Lolay Legacy","Undecided","MAX Mobile Webloader","","02/07/17 02:40 AM","200: Lolay","J. Travis Huber","","","0","","0","0","","","","Active (Needs Priority)"
"Internal Defect","38843","Max Mobile test is unable to refresh the data","0","Medium","Bill Rogalla","webloader","Lolay Legacy","Lolay Backog","MAX Mobile Webloader","","03/24/17 04:23 PM","200: Lolay","Inna Tulika","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","34158","SF:128901, Fairfield Auto Mall MAX Mobile app issues-Galaxy Camera","0","Medium","David Ritter","webloader","Lolay Legacy","Lolay Backog","MAX Mobile Webloader","","08/21/15 08:42 PM","200: Lolay","Bill Rogalla","128901","","0","","0","0","","","","Active (Ready for Work)"
"Internal Defect","38870","DSR search by Stock # does not follow the logic shown in the UI","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Undecided","Digital Showroom","","03/28/17 10:09 PM","200: Lolay","Inna Tulika","","","0","","0","0","","","","Active (Needs Priority)"
"Task","36628","SF:166018, Hendrick Honda Easley - Error on Chat Button in Max Digital Showroom and Max For Website","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","05/13/16 03:26 PM","200: Lolay","Dan Webster","166018","","0","","0","0","","","","Active (Needs Research)"
"Task","38161","Digital Showroom: Need VIN Exposed on Search Results Page","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Undecided","Digital Showroom","","11/30/16 05:35 PM","200: Lolay","Tim Muir","","","0","","0","0","","","","Active (Needs Priority)"
"Task","34680","link to DSR search from mobile","1","Medium","Jared Svenson","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","11/06/15 09:48 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","35303","SF:148527, DSR--No 3rd Seat Option package","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","01/13/16 10:30 PM","200: Lolay","Bill Rogalla","148527","","0","","0","0","","","","Active (Needs Requirements)"
"Task","35575","Digital Showroom: Add ""vin"" property to SRP html","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","02/03/16 10:17 PM","200: Lolay","Tim Muir","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","36176","SF:159519, DSR Issue-- Unable to use DSR in Safari - Dead Buttons","0","Medium","Jared Svenson","dsr","Lolay Legacy","September","Mobile Showroom","","03/30/16 04:14 AM","200: Lolay","Dan Webster","159519","","0","","0","0","","","","Active (Needs Research)"
"Task","34423","handle un-clickable areas","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/29/15 04:57 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Needs Requirements)"
"Bug","34483","Digital Showroom: Beta ""View Mobile Site"" Link Redirects to Production","0","Medium","Jared Svenson","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","10/08/15 05:59 PM","200: Lolay","Tim Muir","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","34627","SF:139054, Litchfield ford - MAX4Web IFrame Large Package Being Cut off","0","Medium","Chad L Sosna","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","10/30/15 02:28 PM","200: Lolay","Bill Rogalla","139054","","0","","0","0","","","","Active (Needs Requirements)"
"Task","34679","Review all leads for required fields","2","Medium","Jared Svenson","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","11/06/15 09:38 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Task","34350","updates to 'send to mobile'","0","Medium","Chad L Sosna","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/22/15 07:15 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Needs Requirements)"
"Task","34353","on MMS one click to call","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/22/15 08:03 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Needs Requirements)"
"Task","34355","add directions to maps","0","Medium","Jared Svenson","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/22/15 08:08 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Task","34357","move description to above carfax/certified area","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/22/15 08:33 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Needs Priority)"
"Task","34358","make photo view more obvious that there are more photos. ","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/22/15 08:40 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Needs Priority)"
"Task","34422","NADA trade in copy changes","0","Medium","Bill Rogalla","dsr","Lolay Legacy","Lolay Backog","Digital Showroom","","09/29/15 04:48 PM","200: Lolay","Chad L Sosna","","","0","","0","0","","","","Active (Needs Requirements)"
