"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Inquiry","15951","RE: Huffines Hyundai inventory lost! Heater","","Low","Zac Brown","","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 07:51 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","15957","Re: Huffines Hyundai inventory lost! Heater","","Low","Zac Brown","","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 08:22 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","16263","RE: Chrsyler Autoload - FB - 16024","","Low","Zac Brown","","000 : Inbox","Undecided","Salesforce Issues","","06/14/11 03:55 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","16264","RE: Chrsyler Autoload - FB - 16024","","Low","Zac Brown","","000 : Inbox","Undecided","Salesforce Issues","","06/14/11 03:57 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","16578","FW: AULTec outbound feed char limit for description","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","06/29/11 08:36 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","16579","RE: AULTec outbound feed char limit for description","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","06/29/11 08:38 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","16604","case (47571), Edge Task Force, S3 - Medium","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","07/01/11 07:36 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","16901","RE: Herbie - clarification","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","07/22/11 06:14 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","17807","FW: Engineering Part Number","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","09/28/11 09:14 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","17891","FW: Herbie","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","10/03/11 11:44 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","18091","FW: beta-vcenter","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Undecided","","10/14/11 09:49 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","19019","FW: Fetch.com Daily FTP Status: LATE REQUESTS FOUND","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","12/12/11 04:19 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","19165","Re: (case: 19004)","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Undecided","","12/16/11 06:26 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","19168","Re: (case: 19004)","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Undecided","","12/16/11 06:52 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","19243","RE: Exception message: Object reference not set to an instance of an object.","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","12/21/11 06:01 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","20003","RE: (case: 19991) FW: Packages -> GID file","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","02/22/12 03:49 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","20706","RE: Galpin Honda. Attn: Sally Witt (case: 20476)","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Undecided","","04/11/12 07:41 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","22508","RE: Question on failing LookFirst Job ""Aggregate - HAL hourly""","","Medium","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","07/18/12 05:26 PM","000:Inbox","Chris Bennett","","","0","","0","0","","","","Active"
"Inquiry","24756","FW: Thank you for your purchase","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","01/22/13 07:39 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25273","FW: Questions for you....","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","03/07/13 11:33 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25913","RE: FB 25693  - Hendrick Buick GMC Cadillac Cary - Not Online report still inaccurate","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","04/29/13 09:26 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25918","RE: FB 25693  - Hendrick Buick GMC Cadillac Cary - Not Online report still inaccurate","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","04/30/13 02:34 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25920","RE: FB 25693  - Hendrick Buick GMC Cadillac Cary - Not Online report still inaccurate","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","04/30/13 02:39 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25921","RE: FB 25693  - Hendrick Buick GMC Cadillac Cary - Not Online report still inaccurate","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","04/30/13 02:44 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25922","RE: FB 25693  - Hendrick Buick GMC Cadillac Cary - Not Online report still inaccurate","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","04/30/13 02:44 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","25923","RE: FB 25693  - Hendrick Buick GMC Cadillac Cary - Not Online report still inaccurate","","Medium","Joy Wilson","","000 : Inbox","Undecided","Salesforce Issues","","04/30/13 02:46 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","26928","RE: Herbie response file","","Medium","Joy Wilson","","000 : Inbox","Undecided","Undecided","","07/18/13 08:31 PM","000:Inbox","Steve Miner","","","0","","0","0","","","","Active"
"Inquiry","30145","Hendrick Certification - Review Capabilities & Roll Out Plan","","Medium","Calvin Dacanay","","000 : Inbox","Undecided","Undecided","","06/03/14 07:54 PM","000:Inbox","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","15066","RE: Carfax Schema Data Retention Policy","","Medium","Joy Wilson","bennett","000 : Inbox","Undecided","Undecided","","03/29/11 01:03 PM","000:Inbox","Chris Bennett","","","0","Chris Bennett","0","0","09/07/11 07:45 PM","","","Resolved (Responded)"
"Inquiry","15950","RE: Huffines Hyundai inventory lost! Heater","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 07:45 PM","000:Inbox","Chris Bennett","","","0","Devaraj Sundaram","0","0","06/22/11 02:34 AM","","","Resolved (Responded)"
"Inquiry","15953","RE: Huffines Hyundai inventory lost! Heater","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 08:03 PM","000:Inbox","Chris Bennett","","","0","Devaraj Sundaram","0","0","08/05/11 02:07 PM","","","Resolved (Responded)"
"Inquiry","15954","RE: Huffines Hyundai inventory lost! Heater","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 08:04 PM","000:Inbox","Chris Bennett","","","0","Devaraj Sundaram","0","0","08/05/11 02:08 PM","","","Resolved (Responded)"
"Inquiry","15955","RE: Huffines Hyundai inventory lost! Heater","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 08:07 PM","000:Inbox","Chris Bennett","","","0","Chris Fant","0","0","01/16/12 06:32 PM","","","Resolved (Responded)"
"Inquiry","15956","RE: Huffines Hyundai inventory lost! Heater","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","05/25/11 08:13 PM","000:Inbox","Chris Bennett","","","0","Devaraj Sundaram","0","0","08/05/11 02:09 PM","","","Resolved (Responded)"
"Inquiry","16265","RE: Chrsyler Autoload - FB - 16024","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","06/14/11 04:09 PM","000:Inbox","Chris Bennett","","","0","Devaraj Sundaram","0","0","08/05/11 02:38 PM","","","Resolved (Responded)"
"Inquiry","16611","RE: FB 16568 - Coyle Chevy Photo Uploader Issue","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","07/05/11 05:41 PM","000:Inbox","Chris Bennett","","","0","Narendra Barad","0","0","07/05/11 05:45 PM","","","Resolved (SPAM)"
"Inquiry","20046","RE: Booking out Vehicles","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Undecided","","02/23/12 05:23 PM","000:Inbox","Chris Bennett","","","0","Chris Bennett","0","0","05/21/12 02:54 PM","","","Resolved (Responded)"
"Inquiry","20050","RE: Booking out Vehicles","","Low","Joy Wilson","bennett","000 : Inbox","Undecided","Salesforce Issues","","02/23/12 05:48 PM","000:Inbox","Chris Bennett","","","0","Chris Bennett","0","0","05/21/12 02:53 PM","","","Resolved (Responded)"
