"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","32714","SF:114178, Unit Showing Packages Incorrectly in Max Digital Showroom","","Medium","V-MAX-Engineers","roadmap","Undecided","","Digital Showroom","","03/12/15 05:29 PM","007:MAX","Dan Webster","114178","","0","","0","0","","","","Active (Ready for Work)"
"Task","32738","Group Autoload: Update Slurpee Recycle SP to Check for Valid Creds in Group","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/16/15 03:54 PM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32739","Group Autoload: Code for round-robin creds sharing","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/16/15 03:55 PM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32740","Group Autoload: Log and Report the BU that you used creds for","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/16/15 03:56 PM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32741","Group Autoload: Pass vins through to dealer with creds","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/16/15 03:57 PM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32742","Group Autoload: Creds can only be used X times per time n. ","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/16/15 03:59 PM","007:MAX","Michaela Baker","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32784","Integration test is updating OEM site passwords that are being tested","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/18/15 01:14 PM","007:MAX","App Support","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","32822","Dealer Search is too slow","","Medium","V-MAX-Engineers","","Undecided","","Max Ad","","03/19/15 08:46 PM","007:MAX","Bill Rogalla","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32844","Change Ford Direct Autoload proxy","","Medium","V-MAX-Engineers","","Undecided","","Dashboard","","03/23/15 02:49 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32860","Ford Autoload Window Sticker (Parent Case)","","Medium","V-MAX-PRODUCT","","Undecided","","AutoLoad","","03/24/15 06:21 PM","007:MAX","Jeff Tureen","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","32888","Minis return too many trims in the NADA appraisal tool","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/27/15 04:06 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Research)"
"Task","32908","Mercedes-Benz autoload using EPC net (public site)","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","03/30/15 09:56 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Research)"
"Bug","32939","Time Sensitve Info-1 Year Subscription Showing In Digital Showroom Packages-USED Cars (T10/#5)","","Medium","V-MAX-Engineers","","Undecided","","Digital Showroom","","04/02/15 06:52 PM","007:MAX","Bill Rogalla","","","0","","0","0","","","","Active (Needs Research)"
"Task","32941","build Mercedes-Benz autoload spider by emulating app","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/02/15 08:01 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Research)"
"Task","32954","Pull Trim from MAX into Merchanding/Showroom (not from FL)","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/03/15 06:52 PM","007:MAX","Michelle Clay","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","32960","SF:116083, New Car Pricing Tool Missing Engine Size","","Medium","V-MAX-PRODUCT","roadmap","Undecided","","Pricing","","04/03/15 09:22 PM","007:MAX","Bill Rogalla","116083","","0","","0","0","","","","Active (Needs Priority)"
"Task","32965","pull Mercedes-Benz info from Transbase DB from the DVDs","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/06/15 04:06 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Research)"
"Task","32966","Autoload using ADS7","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/06/15 04:17 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32971","KIA Autoload","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/07/15 02:20 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32975","Open Autoload using DMI/Digialmotorworks","","Medium","Chad L Sosna","","Undecided","","AutoLoad","","04/07/15 06:57 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Requirements)"
"Bug","32990","SF:116329, Redundant Information in MAX4Web - Same Feature in multiple packages","","Medium","V-MAX-PRODUCT","underconsideration","Undecided","","Website 2.0","","04/08/15 06:46 PM","007:MAX","Bill Rogalla","116329","","0","","0","0","","","","Active (Needs Priority)"
"Bug","32991","Time Sensitive Information for GM-9 month Sirius XM Radio","","Medium","V-MAX-Engineers","","Undecided","","Website 2.0","","04/08/15 06:54 PM","007:MAX","Bill Rogalla","","","0","","0","0","","","","Active (Ready for Work)"
"Task","32993","Chrysler - use options for int colors","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/08/15 09:01 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Ready for Work)"
"Bug","33020","SF:116688, 2011 M Model- MAX Model Display Issue","","Medium","V-MAX-PRODUCT","underconsideration","Undecided","","Chrome","","04/14/15 03:53 PM","007:MAX","Bill Rogalla","116688","","0","","0","0","","","","Active (Needs Priority)"
"Bug","33021","SF:116695, Export Change Request - Suppress ALL CAPS in Ad Verbiage","","Medium","V-MAX-PRODUCT","roadmap","Undecided","","Max Ad","","04/14/15 04:03 PM","007:MAX","Bill Rogalla","116695","","0","","0","0","","","","Active (Needs Priority)"
"Bug","33043","SF:116995, Toyota AutoLoad-Add Low Dollar Amount Options to Whitelist","","Medium","V-MAX-PRODUCT","roadmap","Undecided","","AutoLoad","","04/17/15 02:44 PM","007:MAX","Bill Rogalla","116995","","0","","0","0","","","","Active (Needs Priority)"
"Task","33045","Add the price vs market to the google analytics weekly csvs","","Medium","V-MAX-PRODUCT","","Undecided","","Dashboard","","04/17/15 03:47 PM","007:MAX","Chad L Sosna","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","33048","Deleting photos in the photo manager will result grey bars if the photos are taken thru the webloader tool","","Medium","V-MAX-Engineers","","Undecided","","Max Ad","","04/17/15 06:44 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Estimate)"
"Bug","33049","Max: webloader deletes photos that are uploaded in the photo manager","","Medium","V-MAX-Engineers","","Undecided","","Max Ad","","04/17/15 07:08 PM","007:MAX","Christopher Norton","118758","","0","","0","0","","","","Active (Needs Research)"
"Bug","33058","Max: Gid Provider/Report Data should be a value in the DB with a description of the value","","Medium","V-MAX-Engineers","","Undecided","","Max Ad","","04/20/15 06:45 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Estimate)"
"Bug","33066","DigitalShowroom: Trim Missing From XML & JSON (pull trim from max)","","Medium","V-MAX-Engineers","","Undecided","","AutoLoad","","04/21/15 04:31 PM","007:MAX","Tim Muir","","","0","","0","0","","","32415,","Active (Ready for Work)"
"Bug","33072","GLD: the report takes too long to load when swithing between months or Invtype","","Medium","V-MAX-Engineers","","Undecided","","Max Ad","","04/21/15 07:54 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Estimate)"
"Bug","33095","SF:117496, ""No data"" in MAX Group Dashboard-Min Days to Online with Photo","","Medium","V-MAX-PRODUCT","underconsideration","Undecided","","Dashboard","","04/23/15 06:33 PM","007:MAX","Bill Rogalla","117496","","0","","0","0","","","","Active (Needs Requirements)"
"Bug","33111","SF:117713, Nissan AutoLoad Not Adding All Factory Packages-Value Whitelist (different rules for new/used)","","Medium","V-MAX-PRODUCT","roadmap","Undecided","","AutoLoad","","04/27/15 02:34 PM","007:MAX","Bill Rogalla","117713","","0","","0","0","","","","Active (Needs Priority)"
"Project","33113","Test Market API data","","Medium","V-MAX-Engineers","MAX-Profit-mkI","Undecided","","Pricing","","04/27/15 03:17 PM","007:MAX","Michelle Clay","","","0","","0","0","","","33114,33115,33116,33117,33119,33120,33121,33135,33197,33274,33282,","Work in Progress"
"Bug","33139","SF:117918, Duplicate Standard Equipment selected from Chrome data","","Medium","V-MAX-Engineers","roadmap","Undecided","","Digital Showroom","","04/29/15 01:58 PM","007:MAX","Bill Rogalla","117918","","0","","0","0","","","","Active (Needs Estimate)"
"Bug","33146","Menu Items push dealer chooser element into the body of the page","","Low","V-MAX-PRODUCT","","Undecided","","Max Ad","","04/29/15 07:13 PM","007:MAX","Christopher Norton","","","0","","0","0","","","","Active (Needs Requirements)"
