"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Inquiry","28474","FW: Sterling Wholesale","","Medium","Michael Leddon","","013 : Data Management","Undecided","Misc","","12/13/13 03:18 PM","013:Data Management (DMSI)","V-DBO-ERequests","","","0","","0","0","","","","Active"
"Inquiry","31972","FW: Ticket : 46951 - Export Concern - Wilde Toyota","","Medium","Kim Schoeneck","","013 : Data Management","Undecided","Misc","","12/19/14 05:25 PM","013:Data Management (DMSI)","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","32144","North Park Toyota - Images not loading from Homenet feed ","","Medium","Michael Leddon","","013 : Data Management","Undecided","Misc","","01/16/15 05:01 PM","013:Data Management (DMSI)","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","32168","SF 108875 - Bose Premium Stereo Incorrectly appearing in GID (1 unit) - Mills Chevrolet","","Medium","Michael Leddon","","013 : Data Management","Undecided","Misc","","01/19/15 08:28 PM","013:Data Management (DMSI)","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","32204","SF 110217 - Planet Honda - 2015 Honda Civic Hybrid not showing as ""Hybrid in the system","","Medium","Michael Leddon","","013 : Data Management","Undecided","Misc","","01/21/15 10:28 PM","013:Data Management (DMSI)","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","32522","Gilbert Chevrolet - NULL values in GID File for MPG","","Medium","Michael Leddon","","013 : Data Management","Undecided","Misc","","02/23/15 03:12 PM","013:Data Management (DMSI)","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","33061","1 unit not being sent in GID - FAULKNER03 / 102093 - Ticket 117120","","Medium","Matthew Vukosavljevic","","013 : Data Management","Undecided","Misc","","04/20/15 08:15 PM","013:Data Management (DMSI)","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","33491","Inventory File Request - Tustin Cadillac - GTFRA-674 - Gabriels Technology Solutions -Orange County Register","","Low","James Pluff","","013 : Data Management","Undecided","Misc","","05/29/15 08:47 PM","013:Data Management (DMSI)","ITO","","","0","","0","0","","","","Active"
"Inquiry","32679","Chrysler Five Star LLC website Data Request for TR43207","","Low","James Pluff","","013 : Data Management","Undecided","Misc","","03/10/15 04:11 PM","013:Data Management (DMSI)","ITO","","","0","Bill Hummel","0","0","09/10/15 03:55 PM","03/10/15 04:37 PM","","Resolved (Responded)"
"Inquiry","32778","Chrysler Five Star LLC website Data Request for TR26212","","Low","James Pluff","","013 : Data Management","Undecided","Misc","","03/17/15 09:58 PM","013:Data Management (DMSI)","ITO","","","0","Bill Hummel","0","0","09/10/15 03:55 PM","","","Resolved (Responded)"
"Task","24223","DMS data analysis for Honda dealers","","Medium","Juliana Kennedy","hendrickheaters","013 : Data Management","Undecided","Misc","","11/29/12 09:18 PM","013:Data Management (DMSI)","Devaraj Sundaram","","","0","Juliana Kennedy","0","0","01/30/17 09:29 PM","01/30/17 09:29 PM","","Closed (Completed)"
"Bug","26051","Hendrick stores have repeating photos in the photo manager","","Medium","Darren Bokor","","013 : Data Management","Undecided","Misc","","05/09/13 08:50 PM","013:Data Management (DMSI)","Darren Bokor","","","0","Juliana Kennedy","0","0","01/30/17 09:23 PM","01/30/17 09:24 PM","","Closed (Fixed)"
"Task","26510","(Wentworth Chevrolet SF 79423) Request to add ""Memo2"" field to the GID","","Medium","James Pluff","","013 : Data Management","Undecided","Misc","","06/17/13 07:13 PM","013:Data Management (DMSI)","Kim Schoeneck","79423","","0","Juliana Kennedy","0","0","01/30/17 09:24 PM","01/30/17 09:24 PM","","Closed (Won't Complete)"
"Project","26656","Develop SOP Related to Hendrick Dealer Trade Network","","Ground Level","James Pluff","","013 : Data Management","Undecided","Misc","","06/27/13 04:06 PM","013:Data Management (DMSI)","Michael Leddon","","","0","Juliana Kennedy","0","0","01/30/17 09:22 PM","01/30/17 09:22 PM","","Closed (Won't Complete)"
"Task","32133","SF 109367: Cole Nissan- Outdated Pricing in GID","","Medium","Juliana Kennedy","","013 : Data Management","Undecided","Misc","","01/15/15 04:52 PM","013:Data Management (DMSI)","Kim Schoeneck","","","0","Juliana Kennedy","0","0","01/30/17 09:28 PM","01/30/17 09:28 PM","","Closed (Completed)"
"Feature","2813","LogonDataExtractionConfiguration Page: Journals","","Medium","Benson Fung","","013 : Data Management","Undecided","Misc","","10/07/08 04:15 PM","013:Data Management (DMSI)","Benson Fung","","","","Benson Fung","6","6","10/28/08 09:26 PM","10/28/08 09:26 PM","","Closed (Implemented)"
"Bug","2824","SIS-ADP: StackTrace Error - CredentialID","","High","Jason Calton","","013 : Data Management","Undecided","Misc","","10/08/08 12:22 AM","013:Data Management (DMSI)","Vince Mease","","","","Jason Calton","1.5","1.5","10/10/08 07:19 PM","05/08/09 03:20 PM","","Closed (Fixed)"
"Bug","2839","SIS-ADP: Unable to submit all four digits in Telephone Number","","Medium","Jason Calton","","013 : Data Management","Undecided","Misc","","10/08/08 09:36 PM","013:Data Management (DMSI)","Devang Maniar","","","","Jason Calton","0","0","10/08/08 10:29 PM","10/27/08 07:11 PM","","Closed (Fixed)"
"Bug","2846","SIS-ADP: Search field on New Dealer Selection page","","Medium","Benson Fung","","013 : Data Management","Undecided","Misc","","10/09/08 12:25 AM","013:Data Management (DMSI)","Vince Mease","","","","Benson Fung","0","0","10/09/08 11:51 PM","05/08/09 03:19 PM","","Closed (Fixed)"
"Bug","2847","SIS-ADP: New Dealer Selection page - Search is executed when other page links clicked","","Medium","Jason Calton","","013 : Data Management","Undecided","Misc","","10/09/08 12:33 AM","013:Data Management (DMSI)","Vince Mease","","","","Jason Calton","0","0","10/10/08 08:32 PM","05/08/09 03:18 PM","","Closed (Fixed)"
