"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Schedule Item","2854","prodweb 04 reboot - 2008-10-10","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Production (Non-DB)","","10/09/08 02:22 PM","014:Production Change Requests","Joe Foster","","","","Joe Foster","0","0","10/13/08 05:38 PM","10/13/08 05:38 PM","","Closed (Completed)"
"Schedule Item","2882","P0 Hotfix Push: 10/10/2008","","Medium","Christian Vozar","","014 : Production Change Request","V5_18","Corporate","","10/10/08 03:01 PM","014:Production Change Requests","Noah Keen","","","","Christian Vozar","0","0","10/10/08 06:23 PM","10/10/08 06:23 PM","","Closed (Completed)"
"Bug","2885","Overpricing Risk calculations inconsistent and incorrect","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Database","","10/10/08 03:25 PM","014:Production Change Requests","Frank Owen","","","","Frank Owen","0","0","10/10/08 03:25 PM","10/10/08 03:25 PM","","Closed (Fixed)"
"Bug","2910","JD Power: Stored Proc Change to fix ""Similar Franchises"" bug","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","10/13/08 01:59 PM","014:Production Change Requests","Krishna Kumar","","","","Frank Owen","0","0","10/13/08 02:02 PM","02/25/09 08:22 PM","","Closed (Fixed)"
"Bug","2919","Stored Procedure Error : Market.Pricing.Load#Inventory ","","Medium","Noah Keen","","014 : Production Change Request","Undecided","Database","","10/13/08 03:10 PM","014:Production Change Requests","Noah Keen","","","","Noah Keen","0","0","10/13/08 03:11 PM","10/13/08 03:11 PM","","Closed (Fixed)"
"Bug","3020","P0 Push : 10/14/2008","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","10/14/08 09:16 PM","014:Production Change Requests","Noah Keen","","","","Krishna Kumar","0","0","10/15/08 02:27 PM","10/15/08 02:27 PM","","Closed (Fixed)"
"Bug","3090","add static route to colo cores for VPN tunnels","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Production (Non-DB)","","10/16/08 08:22 PM","014:Production Change Requests","Joe Foster","","","","Joe Foster","0","0","11/12/08 11:20 PM","11/12/08 11:20 PM","","Closed (Fixed)"
"Bug","3095","Elite Ops report - Drive Your Numbers Unweighted - broken","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","10/16/08 08:59 PM","014:Production Change Requests","Frank Owen","","","","Frank Owen","0","0","10/16/08 08:59 PM","10/16/08 08:59 PM","","Closed (Fixed)"
"Bug","3279","JDPowerImport SSIS package includes sales missing SalePrice","","Medium","Krishna Kumar","","014 : Production Change Request","Undecided","Database","","10/23/08 07:19 PM","014:Production Change Requests","Frank Owen","","","","Krishna Kumar","0","0","02/25/09 08:14 PM","02/25/09 08:14 PM","","Closed (Fixed)"
"Bug","3281","Post v5_18_01Release BookOut Issue  - Save&Rebook for KBB produces DPP - Multiple Stores / Vehicles","","Medium","Chris Fant","","014 : Production Change Request","Undecided","Misc","","10/23/08 07:36 PM","014:Production Change Requests","Chris Fant","","","0","Christian Vozar","0","0","10/16/09 05:03 PM","10/22/09 03:40 PM","","Closed (Fixed)"
"Bug","3282","JDPower.Period_d incorrectly calculating date ranges","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Database","","10/23/08 07:54 PM","014:Production Change Requests","Frank Owen","","","","Bill Hummel","0","0","10/23/08 08:05 PM","10/23/08 08:07 PM","","Closed (Fixed)"
"Bug","3289","InternetAdvertiserPrepareForExport_CarsDotCom - remove ""CC"" from filename","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","10/23/08 09:02 PM","014:Production Change Requests","Frank Owen","","","","Frank Owen","0","0","10/23/08 09:02 PM","10/23/08 09:03 PM","","Closed (Fixed)"
"Bug","3366","FLDW update bug in Inventory.Bookout.InventoryBookout#Save","","Critical","Bill Hummel","","014 : Production Change Request","Undecided","Database","","10/29/08 06:50 PM","014:Production Change Requests","Bill Hummel","","","","Bill Hummel","0","0","10/29/08 06:50 PM","10/29/08 06:50 PM","","Closed (Fixed)"
"Bug","3368","P0 Hotfix Push: 10/29/2008","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","10/29/08 09:37 PM","014:Production Change Requests","Noah Keen","","","","Joe Foster","0","0","11/12/08 11:20 PM","11/12/08 11:21 PM","","Closed (Fixed)"
"Bug","3382","Update Loan Book Value Calculator Upgrade - request from Laura","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Corporate","","10/30/08 07:23 PM","014:Production Change Requests","Noah Keen","","","","Bill Hummel","0","0","10/30/08 07:32 PM","10/30/08 07:33 PM","","Closed (Fixed)"
"Schedule Item","3406","Push firstlook-external-ws for R&R CRM Integration ","","High","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","11/03/08 04:45 PM","014:Production Change Requests","Noah Keen","","11/04/08 03:00 PM","0","Christian Vozar","0","0","10/09/09 10:33 PM","10/09/09 10:33 PM","","Closed (Completed)"
"Bug","3532","Push hendrick transfer pricing stored prc updated","","High","Bill Hummel","","014 : Production Change Request","Undecided","Database","","11/11/08 08:57 PM","014:Production Change Requests","Noah Keen","","","","Bill Hummel","0","0","11/11/08 08:59 PM","11/12/08 06:56 PM","","Closed (Fixed)"
"Bug","3601","Push new BMW Mapping Codes for PingI and II","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","11/18/08 02:11 PM","014:Production Change Requests","Noah Keen","","","0","Christian Vozar","0","0","10/16/09 05:03 PM","10/16/09 05:03 PM","","Closed (Fixed)"
"Bug","3608","P0 Push of ping.war and PingII MSI ","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","11/19/08 12:10 AM","014:Production Change Requests","Noah Keen","","","0","Christian Vozar","0","0","10/16/09 04:52 PM","10/16/09 04:52 PM","","Closed (Fixed)"
"Feature","3685","P0.  Update dbo.PorcessTransferPriceRules","","Critical","Frank Owen","","014 : Production Change Request","Undecided","Database","","11/25/08 11:36 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","11/25/08 11:56 PM","12/01/08 04:24 PM","","Closed (Implemented)"
"Bug","3686","EMC LUN Migrations ","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","11/26/08 03:26 PM","014:Production Change Requests","Joe Foster","","","0","Christian Vozar","0","0","10/16/09 08:12 PM","10/16/09 08:12 PM","","Closed (Fixed)"
"Feature","3692","P0 Update reQueue_RepriceExportEvents_AfterProcessorFailure to IMT ","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","11/26/08 09:04 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","11/26/08 09:08 PM","11/26/08 09:09 PM","","Closed (Implemented)"
"Bug","3704","P0  Update reQueue_RepriceExportEvents_AfterProcessorFailure to IMT PROD","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","12/01/08 09:42 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","12/01/08 10:41 PM","12/02/08 04:35 PM","","Closed (Fixed)"
"Bug","3710","P0.  CIASummary has duplicate data","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Corporate","","12/02/08 09:16 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","12/02/08 09:28 PM","12/02/08 09:30 PM","","Closed (Fixed)"
"Bug","3726","P0  Update LoadSearchResult_ByOwnerID_F and [Pricing].[SearchSummaryCollection#Fetch]","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","12/04/08 12:14 AM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","12/04/08 06:50 PM","12/04/08 06:51 PM","","Closed (Fixed)"
"Bug","3738","P0.  Run Update Statement to remedy erroneous SearchTypes in Production","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","12/04/08 10:12 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","12/04/08 10:41 PM","12/04/08 11:48 PM","","Closed (Fixed)"
"Bug","3758","Machine Keys on the .net production boxes","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/05/08 09:36 PM","014:Production Change Requests","Noah Keen","","","0","Christian Vozar","0","0","10/16/09 08:28 PM","10/16/09 08:28 PM","","Closed (Fixed)"
"Bug","3762","Machine key on .net","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Production (Non-DB)","","12/05/08 10:50 PM","014:Production Change Requests","Joe Foster","","","0","Christian Vozar","0","0","10/16/09 10:00 PM","10/16/09 10:00 PM","","Closed (Fixed)"
"Bug","3764","P0 - Update to KBB Display Dates","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/06/08 12:01 AM","014:Production Change Requests","Noah Keen","","","0","Christian Vozar","0","0","10/16/09 03:54 PM","10/16/09 03:54 PM","","Closed (Fixed)"
"Bug","3766","Enable Network DTC access on proddb01dtc/proddb01","","High","Joe Foster","","014 : Production Change Request","Undecided","Production (Non-DB)","","12/06/08 12:48 AM","014:Production Change Requests","Joe Foster","","12/07/08 03:00 PM","0","Christian Vozar","0","0","10/09/09 10:33 PM","10/09/09 10:33 PM","","Closed (Fixed)"
"Feature","3785","Need to place a new static 'registration' page that gets resolved to by www.firstlook.biz/registration ","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/08/08 09:17 PM","014:Production Change Requests","Noah Keen","","","0","Christian Vozar","0","0","10/16/09 08:27 PM","10/16/09 08:27 PM","","Closed (Implemented)"
"Bug","3804","Pushing IMT to fix Case 3787","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/08/08 11:40 PM","014:Production Change Requests","Noah Keen","","","","Frank Owen","0","0","12/23/08 07:35 PM","12/23/08 07:35 PM","","Closed (Fixed)"
"Bug","3812","P0.  Update InventoryBucketRanges","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Database","","12/09/08 08:18 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Magdalena Kipiniak","0","0","12/11/08 10:21 PM","12/11/08 10:21 PM","","Closed (Fixed)"
"Bug","3869","install NADAWebService onto prodapp05/06","","High","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/12/08 10:55 PM","014:Production Change Requests","Joe Foster","","","","Joe Foster","0","0","12/12/08 10:56 PM","12/12/08 10:56 PM","","Closed (Fixed)"
"Bug","3939","P0 - Hot fix a JS file in Pricing. Hot fix a jsp and css in IMT","","Critical","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/17/08 09:19 PM","014:Production Change Requests","Noah Keen","","","","Joe Foster","0","0","12/17/08 11:04 PM","12/17/08 11:05 PM","","Closed (Fixed)"
"Bug","3944","P0 Push log - Hotfix - Related to: 3939","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/17/08 10:36 PM","014:Production Change Requests","Joe Foster","","","","Frank Owen","0","0","12/23/08 07:34 PM","12/23/08 07:34 PM","","Closed (Fixed)"
"Bug","3970","Pushing IMT and NextGen to fix some hot potatoes. ","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","12/19/08 10:14 PM","014:Production Change Requests","Noah Keen","","","","Frank Owen","0","0","12/23/08 07:33 PM","12/23/08 07:34 PM","","Closed (Fixed)"
"Bug","4070","Deploy new Reprice processor to production","","Medium","Joe Foster","","014 : Production Change Request","Undecided","Corporate","","01/06/09 10:31 PM","014:Production Change Requests","Joe Foster","","","0","Christian Vozar","0","0","10/16/09 10:00 PM","10/16/09 10:02 PM","","Closed (Fixed)"
"Bug","4082","Update GetPingIIUsageMetrics with new fields","","Medium","Bill Hummel","","014 : Production Change Request","Hotfix","Database","","01/07/09 11:33 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Bill Hummel","0","0","01/09/09 09:34 PM","01/09/09 10:11 PM","","Closed (Fixed)"
"Schedule Item","4092","Update edgeHomePage.jsp in cas on auth servers","","Medium","Joe Foster","","014 : Production Change Request","Hotfix","Production (Non-DB)","","01/08/09 09:31 PM","014:Production Change Requests","Noah Keen","","","","Joe Foster","0","0","01/08/09 10:07 PM","01/08/09 10:07 PM","","Closed (Completed)"
"Bug","4321","dbo.ProcessTransferPriceRules regressed","","Medium","Bill Hummel","","014 : Production Change Request","V5_18_03","Database","","01/28/09 11:14 PM","014:Production Change Requests","Benson Fung","","","","Bill Hummel","0","0","01/29/09 12:03 AM","03/10/09 11:25 PM","","Closed (Fixed)"
"Bug","4341","Update dbo.GetReportSubscriber__ procedures in the Reports database","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Corporate","","01/29/09 09:23 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Bill Hummel","0","0","01/29/09 09:58 PM","01/29/09 10:19 PM","","Closed (Fixed)"
"Bug","4367","Update InternetAdvertiserGenerateExport_DealerFusion to PRODDBO1","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Corporate","","02/02/09 07:43 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Bill Hummel","0","0","02/02/09 08:07 PM","03/10/09 06:23 PM","","Closed (Fixed)"
"Bug","4477","Update Market.Pricing.PricingInformation","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Database","","02/11/09 04:26 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Bill Hummel","0","0","02/11/09 08:38 PM","03/10/09 06:22 PM","","Closed (Fixed)"
"Bug","4495","PO.  Please deploy [dbo].[InternetAdvertiserGenerateExport_AutoRevo] from 02 to Prod","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Database","","02/12/09 04:32 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Bill Hummel","0","0","02/12/09 07:45 PM","02/12/09 08:50 PM","","Closed (Fixed)"
"Feature","4524","Put IMT.dbo.InternetAdvertiserGenerateExport_AutoRevo.PRC into production.","","Medium","Bill Hummel","","014 : Production Change Request","Undecided","Corporate","","02/16/09 04:00 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Bill Hummel","0","0","02/16/09 05:55 PM","03/10/09 06:51 PM","","Closed (Implemented)"
"Feature","4670","P1.  Please put the Reports.dbo.GetPINGIIUsageMetrics into Production","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Corporate","","02/27/09 08:28 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","02/27/09 11:18 PM","03/10/09 06:51 PM","","Closed (Implemented)"
"Feature","4704","Update Market.Pricing.Load#Inventory to reflect 'Flip Date' for Sales tool.","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Database","","03/02/09 11:57 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","03/03/09 12:49 AM","03/10/09 09:03 PM","","Closed (Implemented)"
"Bug","4886","Bookout processor Push 03/17","","Critical","Joe Foster","","014 : Production Change Request","V5_18_03 P0","Production (Non-DB)","","03/17/09 05:00 PM","014:Production Change Requests","Joe Foster","","","","Benson Fung","0","0","03/17/09 09:59 PM","03/17/09 09:59 PM","","Closed (Fixed)"
"Bug","4946","Update procedures for PING II bugs","","Medium","Frank Owen","","014 : Production Change Request","Undecided","Corporate","","03/24/09 11:21 PM","014:Production Change Requests","Magdalena Kipiniak","","","","Frank Owen","0","0","03/24/09 11:36 PM","03/25/09 10:36 PM","","Closed (Fixed)"
