"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Inquiry","7211","[EDT] (MOD) - Reynolds Web Solutions - Thoroughbred Nissan","","Medium","AULTech","","202 : Aultec","Undecided","Misc","","10/02/09 07:41 PM","202:AULtec / GID","Francis Santos","","","0","","0","0","","","","Active"
"Inquiry","7296","[EDT] (MOD) - Chrysler DMi - Moore Chrysler Dodge Jeep","","Medium","AULTech","","202 : Aultec","Undecided","Misc","","10/09/09 08:47 PM","202:AULtec / GID","Francis Santos","","","0","","0","0","","","","Active"
"Bug","12559","Comment Overwriting - Proposed Solution by AT ","","Medium","Zac Brown","","202 : Aultec","Undecided","Misc","","10/04/10 09:17 PM","202:AULtec / GID","Chris Fant","","","0","","0","0","","","","Active (Open)"
"Task","16830","Clean up Java photo related code.","","Low","V-MAX-Engineers","","202 : Aultec","Undecided","Photos","","07/18/11 01:04 PM","202:AULtec / GID","Peter Stephens","","","0","","0","0","","","","Active (Needs Priority)"
"Project","6743","AulTech Inventory Distribution (Productionization)","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","08/25/09 04:50 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","0","0","03/15/11 11:22 PM","11/01/13 04:09 PM","6746,6831,6836,6966,7046,7085,","Closed (Completed)"
"Feature","6746","Export proc optimization","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","08/25/09 05:01 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","0","0","03/15/11 11:22 PM","11/01/13 04:10 PM","6747,6748,6749,6830,6876,6935,6950,6961,","Closed (Implemented)"
"Feature","6830","Add date and region to FLDW..InventoryBookout_F","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","08/27/09 11:12 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","0","0","03/15/11 11:22 PM","11/01/13 04:10 PM","","Closed (Implemented)"
"Feature","6831","Add real-time updates to GetInventoryBookoutSelectedOption_F","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","08/27/09 11:33 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","2","2","03/15/11 11:22 PM","11/01/13 04:10 PM","","Closed (Implemented)"
"Task","6966","Build ""test"" web distribution feed in production","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","09/08/09 07:37 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","3","3","03/15/11 11:22 PM","11/01/13 04:06 PM","","Closed (Completed)"
"Project","7018","AulTech Inventory Distribution Feed","","Medium","Paco Lebron","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","09/13/09 11:23 PM","202:AULtec / GID","Krishna Kumar","","","0","Chris Fant","0","0","11/01/13 03:56 PM","11/01/13 04:09 PM","7019,7020,7021,7022,7023,7127,","Closed (Completed)"
"Project","7019","Productionization of Outbound Feed","","Medium","Paco Lebron","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","09/14/09 12:06 AM","202:AULtec / GID","Krishna Kumar","","","0","Bill Hummel","0","0","03/15/11 11:22 PM","11/01/13 04:09 PM","6743,7031,7141,","Closed (Completed)"
"Project","7020","Operational Tools and Monitoring","","Medium","Paco Lebron","","202 : Aultec","Undecided","Misc","","09/14/09 12:06 AM","202:AULtec / GID","Krishna Kumar","","","0","Chris Fant","0","0","11/04/13 06:15 PM","11/04/13 06:15 PM","","Closed (Completed)"
"Bug","7085","AulTec Inventory Feed Does not Populate vehicle options","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","09/21/09 03:09 PM","202:AULtec / GID","Krishna Kumar","","","0","Bill Hummel","0","0","03/15/11 11:22 PM","11/01/13 04:03 PM","","Closed (Fixed)"
"Task","7110","Documentation","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","09/23/09 03:14 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","8","8","03/15/11 11:22 PM","11/01/13 04:06 PM","","Closed (Completed)"
"Project","7343","AULTech Transition Test (Production)- Status Update","","Medium","Devang Maniar","","202 : Aultec","Undecided","Misc","","10/15/09 01:24 PM","202:AULtec / GID","Devang Maniar","","","0","Chris Fant","0","0","01/16/12 06:43 PM","01/16/12 06:44 PM","","Closed (Completed)"
"Project","7353","PR23: General Internet Distribution and Lot Data Loading","","Medium","Chris Fant","","202 : Aultec","Undecided","Misc","","10/15/09 08:12 PM","202:AULtec / GID","Krishna Kumar","","","0","Chris Fant","0","0","11/04/13 06:15 PM","11/04/13 06:15 PM","","Closed (Completed)"
"Task","7864","AULtec file (FIX) - Incorrect AULTec IDs for CDMData and VinSolutions stores","","Critical","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","11/11/09 04:35 PM","202:AULtec / GID","Paco Lebron","","","0","Bill Hummel","0","0","11/13/09 04:35 PM","11/01/13 04:06 PM","","Closed (Completed)"
"Feature","8175","AULtec file (MOD) - MSRP mapping","","High","Francis Santos","","202 : Aultec","Undecided","Misc","","12/08/09 09:24 PM","202:AULtec / GID","Francis Santos","","","0","Chris Fant","0","0","01/16/12 06:44 PM","01/16/12 06:44 PM","","Closed (Implemented)"
"Task","8435","AULtec Validation Per Jan. 2010 email","","Medium","Paco Lebron","","202 : Aultec","Undecided","Misc","","12/22/09 04:09 PM","202:AULtec / GID","Sami Uctum","","","0","Chris Fant","0","0","11/01/13 03:56 PM","11/01/13 04:09 PM","8436,8437,8438,8439,8440,8441,8533,8575,8576,8577,8590,8618,8619,8678,8693,8707,8708,8717,","Closed (Completed)"
"Feature","8515","AULTec New Car changes","","Medium","V-DBO-QA","NOVEMBER1unRESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","12/30/09 07:28 PM","202:AULtec / GID","Vince Mease","","","0","Chris Fant","0","0","11/01/13 04:18 PM","11/01/13 04:43 PM","8524,","Closed (Implemented)"
"Task","8524","AULtec - Allow Different rules for New vs Used","","Medium","V-DBO-QA","NOVEMBER1unRESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","12/31/09 03:43 PM","202:AULtec / GID","Sami Uctum","","","0","Chris Fant","0","0","11/01/13 04:18 PM","11/01/13 04:46 PM","8525,8526,","Closed (Completed)"
"Task","8526","AULtec - Create New process to allow for Data Driven Rules Prioritization","","Medium","V-DBO-QA","NOVEMBER1unRESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","12/31/09 03:49 PM","202:AULtec / GID","Sami Uctum","","","0","Chris Fant","0","0","11/01/13 04:18 PM","11/01/13 04:46 PM","","Closed (Completed)"
"Project","8581","AULtec: Ongoing refactoring and feature development","","Medium","Bill Hummel","","202 : Aultec","Undecided","Misc","","01/06/10 05:39 PM","202:AULtec / GID","Bill Hummel","","","0","Chris Fant","0","0","11/01/13 03:56 PM","11/01/13 04:09 PM","8583,8589,8628,9392,","Closed (Completed)"
"Task","8589","Add new columns to Lot.Listing.Vehicle","","Medium","V-DBO-QA","","202 : Aultec","Undecided","Misc","","01/06/10 06:17 PM","202:AULtec / GID","Bill Hummel","","","0","Chris Fant","4","4","11/01/13 04:18 PM","11/01/13 04:46 PM","","Closed (Completed)"
"Task","8590","Add ImageCount to extract","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","01/06/10 07:31 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","0","0","01/06/10 07:36 PM","11/01/13 04:06 PM","","Closed (Completed)"
"Task","8628","Change CertificationNumber to VARCHAR(20) from INT","","Medium","V-DBO-QA","NOVEMBER1unRESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","01/08/10 03:12 PM","202:AULtec / GID","Bill Hummel","","","0","Chris Fant","0","0","11/01/13 04:18 PM","11/01/13 04:46 PM","","Closed (Completed)"
"Bug","8629","AULTech PRODDB03SQL Testing","","Medium","Paco Lebron","","202 : Aultec","Undecided","Misc","","01/08/10 04:28 PM","202:AULtec / GID","Vince Mease","","","0","T.J. Cathey","0","0","12/06/11 07:28 PM","12/08/11 03:45 PM","8630,8654,8655,8656,","Closed (Fixed)"
"Bug","8654","PriceReduced flag investigation","","Medium","Paco Lebron","","202 : Aultec","Undecided","Misc","","01/08/10 11:56 PM","202:AULtec / GID","Vince Mease","","","0","Kyle Hasselbacher","0","0","01/03/12 09:46 PM","01/24/12 09:23 PM","","Closed (Fixed)"
"Task","8693","AULtect - Lot.ImageModifiedDate not populated for all providers","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","01/11/10 10:56 PM","202:AULtec / GID","Bill Hummel","","","0","Bill Hummel","0","0","01/20/10 11:29 PM","11/01/13 04:06 PM","","Closed (Completed)"
"Bug","8708","AULtec - Merchandising Description is truncated","","Medium","V-DBO-QA","","202 : Aultec","Undecided","Misc","","01/12/10 05:07 PM","202:AULtec / GID","Sami Uctum","","","0","Chris Fant","0","0","11/01/13 04:31 PM","11/01/13 04:44 PM","","Closed (Fixed)"
"Bug","9282","AULtec file issue: duplicate image URLs included in system","","High","Chris Fant","dbo-team","202 : Aultec","Undecided","Misc","","02/11/10 05:37 PM","202:AULtec / GID","Francis Santos","","","0","Chris Fant","0","0","11/04/13 05:57 PM","11/04/13 05:57 PM","","Closed (Fixed)"
"Task","9392","Extract.AULtec#Inventory - Create Clustered Index","","Medium","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","202 : Aultec","Undecided","Misc","","02/17/10 09:28 PM","202:AULtec / GID","Sami Uctum","","","0","Sami Uctum","0","0","02/17/10 09:38 PM","11/01/13 04:06 PM","","Closed (Completed)"
