"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","17133","photo manager in eStockCard hangs if you click on view/edit photos link again","","Medium","Zac Brown","photos","203 : AULTec","Undecided","Misc","","08/15/11 04:52 AM","203:AULTec Photos","Christopher Norton","","","0","","0","0","","","","Active (Needs Estimate)"
"Bug","17210","Some photos aren't displayed","","Medium","Zac Brown","","203 : AULTec","Undecided","Misc","","08/18/11 08:35 PM","203:AULTec Photos","Zac Brown","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","33381","MAX: Photo Manager - Timeouts, Failing to Render","","Medium","V-MAX-Engineers","","203 : AULTec","23.1.1","Misc","","05/21/15 02:04 AM","203:AULTec Photos","Tim Muir","","","0","","0","0","","","","Active (Needs Priority)"
"Bug","35148","Photos still exist for cars that are older than 14 days Deleted","0","Medium","V-MAX-PRODUCT","","203 : AULTec","Undecided","Misc","","12/23/15 11:44 PM","203:AULTec Photos","Christopher Norton","","","0","","0","0","","","","Active (Needs Priority)"
"Internal Defect","16665","Max Ad: AULTec Photo Manager does NOT display header to select Save, Upload","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/07/11 04:48 PM","203:AULTec Photos","Narendra Barad","","","0","Christopher Norton","1","1","08/11/11 06:53 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Bug","16668","Max Ad: Photo Manager - Header Text not easily readable","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/07/11 06:19 PM","203:AULTec Photos","Narendra Barad","","","0","Narendra Barad","0.1","0.1","07/08/11 05:35 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Inquiry","16670","Master File Report ","","Low","Jeff Morris","","203 : AULTec","Undecided","Misc","","07/07/11 07:33 PM","203:AULTec Photos","Jeff Morris","","","0","Tomer Alpert","0","0","07/11/11 09:01 PM","07/11/11 09:01 PM","","Closed (Responded)"
"Internal Defect","16679","Max Ad: Photos - Bulk Upload - Confirmation button before deleting the photo","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/07/11 10:22 PM","203:AULTec Photos","Narendra Barad","","","0","Narendra Barad","1","1","07/08/11 05:31 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Feature","16684","Max Ad: Photos - Better text needed when no photos uploaded for a vehicle","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/08/11 03:09 PM","203:AULTec Photos","Narendra Barad","","","0","Dave Speer","1","1","07/11/11 10:11 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Bug","16685","Max Ad: Photos - Error message box pop up comes up after selecting Lock/Save","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/08/11 03:18 PM","203:AULTec Photos","Narendra Barad","","","0","Dave Speer","1","1","07/11/11 10:13 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Bug","16687","Max Ad: Photos - Incorrect message appears in confirmation window when deleting photos","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/08/11 03:54 PM","203:AULTec Photos","Narendra Barad","","","0","Dave Speer","2","2","07/11/11 11:02 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Internal Defect","16694","Max Ad: Bulk Upload - Tagged photos NOT getting assigned to the vehicle","","Low","V-MAX-QA","T4332","203 : AULTec","8.0","Misc","","07/08/11 06:56 PM","203:AULTec Photos","Narendra Barad","","","0","Tim Muir","1","1","07/28/11 03:12 PM","08/19/11 02:32 PM","","Closed (Verified)"
"Internal Defect","16695","Max Selling & Eml : Image Manager - Error while selecting Reset/Save after ordering","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/08/11 07:13 PM","203:AULTec Photos","Narendra Barad","","","0","Christopher Norton","0","0","07/14/11 02:16 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Internal Defect","16697","Max Ad: Bulk Upload - drop down list does NOT show all stock numbers to assign photos","","Medium","Zac Brown","","203 : AULTec","backlog","Misc","","07/08/11 09:26 PM","203:AULTec Photos","Narendra Barad","","","0","Tomer Alpert","0","0","09/20/11 07:06 PM","09/20/11 07:06 PM","","Closed (Fixed)"
"Bug","16698","Max Ad: Photos - Some photos are NOT displayed after upload in Max Ad & Max Selling","","Low","V-MAX-QA","","203 : AULTec","8.0","Misc","","07/08/11 09:36 PM","203:AULTec Photos","Narendra Barad","","","0","Christopher Norton","1","1","08/01/11 05:34 PM","08/19/11 02:32 PM","","Closed (Verified)"
"Bug","16699","Photo Manager:  Remove Extra White Space Around Upload Button","","Low","Tomer Alpert","","203 : AULTec","8.0","Misc","","07/08/11 09:37 PM","203:AULTec Photos","Tomer Alpert","","","0","Tomer Alpert","0","0","08/26/11 07:35 PM","09/20/11 07:07 PM","","Closed (Verified)"
"Internal Defect","16704","Can't save after rearranging photos","","High","Zac Brown","","203 : AULTec","8.1","Misc","","07/09/11 02:14 PM","203:AULTec Photos","Zac Brown","","","0","Stephen Rothman","0","0","07/09/11 06:18 PM","09/29/11 08:38 PM","","Closed (Fixed)"
"Internal Defect","16707","Bulk Upload - can't upload more than 20","","Low","V-MAX-QA","","203 : AULTec","8.0","Misc","","07/09/11 05:34 PM","203:AULTec Photos","Zac Brown","","","0","Tim Muir","1","1","07/14/11 08:19 PM","08/19/11 02:32 PM","","Closed (Verified)"
"Internal Defect","16708","Bulk Upload displays 302 errors during upload","","High","Zac Brown","","203 : AULTec","Undecided","Misc","","07/09/11 05:39 PM","203:AULTec Photos","Zac Brown","","","0","Zac Brown","0","0","07/12/11 03:15 PM","09/29/11 08:38 PM","","Closed (Not Reproducible)"
"Internal Defect","16709","Delete photos from car doesn't actually delete them","","Low","Zac Brown","","203 : AULTec","Undecided","Misc","","07/09/11 05:50 PM","203:AULTec Photos","Zac Brown","","","0","Stephen Rothman","0","0","07/12/11 09:18 PM","09/29/11 08:38 PM","","Closed (Fixed)"
"Internal Defect","16710","Bulk upload dropdown is missing cars","","High","Zac Brown","","203 : AULTec","8.0","Misc","","07/09/11 06:42 PM","203:AULTec Photos","Zac Brown","","","0","Christopher Norton","1","1","08/01/11 09:35 PM","09/29/11 08:38 PM","","Closed (Duplicate)"
"Bug","16717","AULTec Master File: Vehicle Count Comparison","","High","Paco Lebron","dbo","203 : AULTec","Undecided","Misc","","07/11/11 02:48 PM","203:AULTec Photos","Paco Lebron","","","0","Tomer Alpert","0","0","07/15/11 09:47 PM","07/18/11 12:22 PM","","Closed (Fixed)"
"Internal Defect","16719","Garbage characters being returned from AULtec photoquery.","","Medium","V-MAX-QA","","203 : AULTec","8.0","Misc","","07/11/11 04:58 PM","203:AULTec Photos","Peter Stephens","","","0","Kevin Boucher","0","0","07/14/11 07:13 PM","08/19/11 02:32 PM","","Closed (Verified)"
"Internal Defect","16720","Inactive vehicles should be returned in the photo query until removed from the system.","","High","V-MAX-QA","","203 : AULTec","8.0","Misc","","07/11/11 05:03 PM","203:AULTec Photos","Peter Stephens","","","0","Christopher Norton","0","0","08/12/11 11:52 PM","08/25/11 07:44 PM","","Closed (Verified)"
"Internal Defect","16730","Max Ad: Server Error - 401 trying to access Photo Manager","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/11/11 09:36 PM","203:AULTec Photos","Narendra Barad","","","0","Narendra Barad","1","1","07/12/11 08:35 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Internal Defect","16731","AULTec photo manager gets out of sync with session.","","Low","V-MAX-QA","","203 : AULTec","8.0","Misc","","07/11/11 10:05 PM","203:AULTec Photos","Kurt Moeller","","","0","Christopher Norton","0","0","08/01/11 05:28 PM","08/19/11 02:32 PM","","Closed (Verified)"
"Internal Defect","16733","Urls returned by photoquery must be HTTPS","","Low","Christopher Norton","","203 : AULTec","8.1","Misc","","07/11/11 10:22 PM","203:AULTec Photos","Peter Stephens","","","0","Peter Stephens","0","0","08/11/11 09:03 PM","08/22/11 05:04 PM","","Closed (Verified)"
"Bug","16735","Max Ad: Page stuck after uploading photos - Upload button disabled ","","Low","Christopher Norton","","203 : AULTec","8.0","Misc","","07/11/11 10:41 PM","203:AULTec Photos","Narendra Barad","","","0","Christopher Norton","0","0","08/01/11 06:15 PM","08/22/11 05:04 PM","","Closed (Verified)"
"Internal Defect","16736","Max Ad: Photos Upload - text cut off while uploading photos","","Low","Narendra Barad","","203 : AULTec","8.0","Misc","","07/11/11 10:44 PM","203:AULTec Photos","Narendra Barad","","","0","Narendra Barad","0","0","07/12/11 10:32 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Task","16737","Verbiage on Image Manager underneath buttons","","Low","Stephen Rothman","","203 : AULTec","8.0","Misc","","07/11/11 10:52 PM","203:AULTec Photos","Tomer Alpert","","","0","Stephen Rothman","0","0","07/12/11 12:49 AM","07/12/11 12:49 AM","","Closed (Completed)"
"Bug","16742","Max Ad: Bulk Upload - Session Expired message after uploading files","","Low","Zac Brown","enhancement","203 : AULTec","Undecided","Misc","","07/12/11 04:45 PM","203:AULTec Photos","Narendra Barad","","","0","Michelle Clay","0","0","02/21/14 09:30 PM","02/21/14 09:32 PM","","Closed (Won't Fix)"
"Task","16744","AULtec GID file: Remove Duplicate VIN Filter and Send all VINs","","High","V-DBO-QA","NOVEMBER1RESOLVEDCLOSURES","203 : AULTec","Undecided","Misc","","07/12/11 05:17 PM","203:AULTec Photos","Paco Lebron","","","0","Bill Hummel","0","0","07/13/11 07:00 PM","11/01/13 04:06 PM","","Closed (Completed)"
"Internal Defect","16750","Max Ad: Photos - Blank Message box pops up when navigating to Photos page","","High","Narendra Barad","","203 : AULTec","8.0","Misc","","07/12/11 06:36 PM","203:AULTec Photos","Narendra Barad","","","0","Christopher Norton","0","0","07/13/11 08:49 PM","08/19/11 06:47 PM","","Closed (Verified)"
"Internal Defect","16751","Max Ad: Upload photo disabled even after photos are uploaded","","Medium","V-MAX-QA","","203 : AULTec","8.0","Misc","","07/12/11 06:46 PM","203:AULTec Photos","Narendra Barad","","","0","Tim Muir","0.5","0.5","07/21/11 08:31 PM","08/19/11 02:32 PM","","Closed (Verified)"
"Feature","16755","Add Upload Status Bar To Single Vehicle Upload Tool","","Low","Tomer Alpert","","203 : AULTec","Undecided","Misc","","07/12/11 08:22 PM","203:AULTec Photos","Tomer Alpert","","","0","Tomer Alpert","0","0","07/12/11 10:11 PM","07/12/11 10:11 PM","","Closed (Implemented)"
"Bug","16766","Max Elite: New Photos are little blurry in the iPad App","","Low","V-MAX-QA","","203 : AULTec","8.1","Misc","","07/13/11 03:56 PM","203:AULTec Photos","Narendra Barad","","","0","Tomer Alpert","0","0","08/05/11 04:15 PM","08/23/11 03:39 PM","","Closed (By Design)"
"Feature","16773","photos: multiselect capability desired","","Low","Christopher Norton","photos","203 : AULTec","Undecided","Misc","","07/13/11 06:11 PM","203:AULTec Photos","Christopher Norton","","","0","Michelle Clay","0","0","02/21/14 09:31 PM","02/21/14 09:31 PM","","Closed (Won't Implement)"
