"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","3","SF15150, Ping 2 is showing up on pricing analyzer always and doesnt respect the end date","","High","Agam Patel","","Salesforce Cases","V5_15_01 Bugfix","004:Pricing Tools","","02/12/08 08:14 PM","000:Salesforce Cases","Krishna Kumar","","","0","Krishna Kumar","1","1","03/06/08 12:27 AM","03/06/08 12:27 AM","","Closed (Fixed)"
"Bug","5","SF15085, P1, Unable to complete appraisal when clicking on ""Done"" ","","High","Krishna Kumar","","Salesforce Cases","Undecided","001:Appraisal Center","","02/12/08 08:14 PM","000:Salesforce Cases","Krishna Kumar","","","0","Krishna Kumar","0","0","03/05/08 11:49 PM","03/05/08 11:49 PM","","Closed (Fixed)"
"Bug","6","SF15114, P1, S0 Unable to complete appraisal when clicking on ""Done"" ","","High","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","02/12/08 08:14 PM","000:Salesforce Cases","T.J. Cathey","","","0","Kyle Hasselbacher","3","3","06/11/10 02:29 PM","06/11/10 02:29 PM","27742,","Closed (Fixed)"
"Bug","7","SF15113, P1, S0 Unable to complete appraisal when clicking on ""Done""","","High","Krishna Kumar","","Salesforce Cases","V5_15_01 Bugfix","001:Appraisal Center","","02/12/08 08:14 PM","000:Salesforce Cases","Krishna Kumar","","","","Krishna Kumar","0","0","03/05/08 11:49 PM","03/05/08 11:49 PM","","Closed (Fixed)"
"Bug","9","SF15085, P1, S0 Unable to complete appraisal when clicking on ""Done""","","High","Krishna Kumar","","Salesforce Cases","V5_15_01 Bugfix","001:Appraisal Center","","02/12/08 08:14 PM","000:Salesforce Cases","Krishna Kumar","","","","Krishna Kumar","0","0","03/05/08 11:49 PM","03/05/08 11:49 PM","","Closed (Fixed)"
"Bug","10","SF15057, P1, S1 Unable to Edit Book Options on EStock Card on the 2nd Attempt","","High","Brian Nguyen","","Salesforce Cases","V5_15_01 Bugfix","002:Inventory Mgmt Tools","","02/12/08 08:14 PM","000:Salesforce Cases","Chris Fant","","","0","Chris Fant","2","2","03/26/08 07:22 PM","03/26/08 07:22 PM","19654,","Closed (Fixed)"
"Bug","12","SF14235, P1, S1 DPP when you click on Add/Manage Advertising Publishers (Quick","","High","Krishna Kumar","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","02/12/08 08:14 PM","000:Salesforce Cases","Chris Fant","","","","Chris Fant","0","0","03/26/08 07:22 PM","03/26/08 07:22 PM","","Closed (Fixed)"
"Bug","13","SF14985, P1, S3 Vehicle Model Description missing under the Planning section","","High","Noah Keen","","Salesforce Cases","V5_15_01 Bugfix","002:Inventory Mgmt Tools","","02/12/08 08:14 PM","000:Salesforce Cases","Krishna Kumar","","","","Krishna Kumar","0","0","03/06/08 12:28 AM","03/06/08 12:28 AM","","Closed (Fixed)"
"Bug","14","FW: Case Notification: SF14987, P1, S2  Vehicle Model Description missing under the Planning section","","High","Noah Keen","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","02/12/08 08:14 PM","000:Salesforce Cases","Krishna Kumar","","","","Krishna Kumar","0","0","03/06/08 12:32 AM","03/06/08 12:32 AM","","Closed (Duplicate)"
"Bug","20","SF14250, P1, S1 - Updating KBB options gives a DPP Error Detailed Description:","","High","Andy Carlson","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","02/12/08 08:14 PM","000:Salesforce Cases","Chris Fant","","","","Chris Fant","0","0","03/26/08 07:32 PM","03/26/08 07:32 PM","","Closed (Fixed)"
"Bug","24","SF15166, P2, Current Inventory Breakdown by Light (PMR) - Total Water Value and bookvscost value invalid","","Planning","Brian Nguyen","","Salesforce Cases","V5_16_00","005:Reporting and Dashboards","","02/12/08 09:07 PM","000:Salesforce Cases","Krishna Kumar","","","","Benson Fung","1.5","1.5","04/04/08 10:42 PM","04/08/08 04:13 PM","","Closed (Fixed)"
"Feature","25","SF14223, P2, PING II (via Trade Manager) - 'Potential Gross Profit' field is Null","","Medium","Agam Patel","","Salesforce Cases","Undecided","004:Pricing Tools","","02/13/08 04:18 PM","000:Salesforce Cases","Andy Carlson","","","","Krishna Kumar","3","3","03/11/08 07:54 PM","03/11/08 07:54 PM","","Closed (Won't Implement)"
"Bug","26","SF14986, P2, Stocking Reports (via SE) - Print Page on IE 7 is missing or displaying no Data","","Medium","Brian Nguyen","","Salesforce Cases","V5_15_01 Bugfix","003:Purchasing Tools","","02/13/08 07:16 PM","000:Salesforce Cases","Andy Carlson","","","","Noah Keen","3.75","3.75","03/05/08 05:39 PM","03/07/08 11:10 PM","","Closed (Fixed)"
