"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","QA Buddy","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases"
"Internal Defect","39044","Ford Autoload - summary of vins not autoloading","0","Medium","V-MAX-PRODUCT","","Undecided","04/24/17 07:45 PM","002:FLM","","Darren Bokor","","","0","","0","0","","",""
"Feature","39043","SF:221646, Request to send Trim instead of Style as ""Trim"" in GID","0","Medium","V-MAX-Architect","","Undecided","04/24/17 07:10 PM","002:FLM","","Michael Morales","221646","","0","","0","0","","",""
"Task","39063","Chrome Incentives: Deprecate the Feature - Parent Case","0","Medium","V-MAX-PRODUCT","ChromeAIR","Undecided","04/25/17 07:19 PM","002:FLM","","Tim Muir","","","0","","0","0","","","37359,39066,39067,39077,"
"Task","39077","Chrome Incentives: Remove Setting in FL-admin PING II Tab","5","Medium","V-MAX-PRODUCT","ChromeAIR","Undecided","04/26/17 04:39 PM","002:FLM","","Mike Metterle","","","0","","0","0","","",""
"Bug","39073","SF:222993, MAX DSR Issue - Unable to Select Make from Dropdown","0","Medium","V-MAX-PRODUCT","","Undecided","04/26/17 03:52 PM","002:FLM","","Michael Morales","222993","","0","","0","0","","",""
"Bug","39064","MAX AD (Wanamaker) FLAdmin Upgrade not saving in IE11","0","Medium","V-MAX-Triage","","Undecided","04/25/17 07:53 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Bug","38924","Mobile Showroom: Google Analytics Data Collection Broken","0","High","Bill Rogalla","","Undecided","04/04/17 07:58 PM","002:FLM","","Tim Muir","","","0","","0","0","","",""
"Bug","39021","SF:218553, Secure Site Script for M4W","0","Medium","Bill Rogalla","","Undecided","04/21/17 02:55 PM","002:FLM","","Michael Morales","218553","","0","","0","0","","",""
"Bug","38923","SF:215954, Requesting a Volvo Specific M4W MAX Digital Hosted Script","0","Medium","V-MAX-PRODUCT","","Undecided","04/04/17 07:31 PM","002:FLM","","Michael Morales","215954","","0","","0","0","","",""
"Bug","38964","SF:218537, Enhanced Decoding Issue - No Trims on Mercedes-Benz","0","Medium","Bill Rogalla","","Undecided","04/10/17 02:19 PM","002:FLM","","Michael Morales","218537","","0","","0","0","","",""
"Bug","38992","SF:220831, DSR Issue- Vehicle not appearing in DSR when filtered by trim","0","Medium","V-MAX-PRODUCT","","Undecided","04/13/17 08:11 PM","002:FLM","","Michael Morales","220831","","0","","0","0","","",""
"Internal Task","39008","Max: Add Feedback to Auto-Approve Page","0","Medium","V-MAX-PRODUCT","","Undecided","04/19/17 04:38 PM","002:FLM","","Tim Muir","","","0","","0","0","","",""
"Bug","31824","Max: Need columns for -89 and -88 codes in the Batch Autoload Status report ","","Low","V-MAX-PRODUCT","autoload","Undecided","12/03/14 09:33 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Bug","37991","Toyota SET data scraped and stored in S3 but not being Autoload on an error condition","0","Medium","V-MAX-PRODUCT","autoload","Undecided","10/28/16 09:33 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Bug","38978","SF:220542, BMW Auto Load Issue - Not Loading Packages and Colors","0","Medium","Bill Rogalla","","Undecided","04/11/17 09:08 PM","002:FLM","","Michael Morales","220542","","0","","0","0","","",""
"Bug","37117","Reynolds and Reynolds WriteBack Charge Per Transaction","0","Medium","Akshai Rathore","","Undecided","07/07/16 05:57 PM","002:FLM","","Bill Rogalla","","","0","","0","0","","",""
"Feature","38754","SF:215032, Wilde Honda - DSR Should Show Trim from MAX","0","Medium","Bill Rogalla","","Undecided","03/13/17 08:45 PM","002:FLM","","Michael Morales","215032","","0","","0","0","","",""
"Feature","38996","SF:221178, Max Group DSR Issues - Sterling AG ","0","Medium","V-MAX-PRODUCT","","Undecided","04/14/17 08:30 PM","002:FLM","","Michael Morales","221178","","0","","0","0","","",""
"Bug","38967","SF:217779, Cars.com CTR Not Showing in MAX","0","Medium","V-MAX-Triage","","Undecided","04/10/17 06:24 PM","002:FLM","","Michael Morales","217779","","0","","0","0","","",""
"Bug","38968","SF:219837, DSR Issue - Unable to Send Link to Mobile ","0","Medium","V-MAX-PRODUCT","","Undecided","04/10/17 06:59 PM","002:FLM","","Michael Morales","219837","","0","","0","0","","",""
"Bug","38966","SF:218502, BMW MSRP Value Missing From Autoload","0","Medium","Bill Rogalla","","Undecided","04/10/17 03:47 PM","002:FLM","","Michael Morales","218502","","1","","0","0","","",""
"Bug","38955","SF:219832, Carfax Issue - Unable to Pull Carfax in FirstLook On Specific Vehicle, But Can on Carfax Online","0","Medium","V-MAX-PRODUCT","","Undecided","04/07/17 08:03 PM","002:FLM","","Michael Morales","219832","","0","","0","0","","",""
"Bug","38958","SF:217474, Profit Max Issue - Missing Market Listings - Showing Double Cabs on an Access Cab Truck","0","Medium","V-MAX-PRODUCT","","Undecided","04/07/17 09:03 PM","002:FLM","","Michael Morales","217474","","0","","0","0","","",""
"Bug","38934","SF:219412, vb7094b Profit Max Vehicle Being Duplicated","0","Medium","V-MAX-PRODUCT","","Undecided","04/06/17 02:37 PM","002:FLM","","Michael Morales","219412","","0","","0","0","","",""
"Bug","38939","SF:219247, Inaccurate Market Listing","0","Medium","V-MAX-PRODUCT","","Undecided","04/06/17 04:01 PM","002:FLM","","Michael Morales","219247","","0","","0","0","","",""
"Internal Defect","38936","AdStatus preprocessor: trim Vin, any other string","0","Medium","V-MAX-DATA-Engineers","","Undecided","04/06/17 03:07 PM","002:FLM","","Dave Speer","","","0","","0","0","","",""
"Bug","38932","SF:219323, Profit MAX Equipment Filters not showing Bench Seats","0","Medium","V-MAX-PRODUCT","","Undecided","04/06/17 02:15 PM","002:FLM","","Michael Morales","219323","","0","","0","0","","",""
"Bug","38921","SF:218901, Error Message - 'Object reference not set to an instance of an object' in Pricing Campaigns","0","Medium","Bill Rogalla","","Undecided","04/04/17 06:41 PM","002:FLM","","Michael Morales","218901","","0","","0","0","","",""
"Bug","38926","In-Transit inventory may not trigger autoload","0","Medium","V-MAX-PRODUCT","","Undecided","04/05/17 05:03 PM","002:FLM","","J. Travis Huber","","","0","","0","0","","",""
"Bug","33093","The type specified in the TypeName property of ObjectDataSource 'InventoryDSList' could not be found.","","Medium","V-MAX-PRODUCT","","Undecided","04/23/15 01:40 PM","002:FLM","","Christopher Norton","","","0","","0","0","","",""
"Bug","38918","SF:218654, Selecting Beats Audio Package Causes Option Conflict Error Message for NADA Values ","0","Medium","Akshai Rathore","","Undecided","04/04/17 04:36 PM","002:FLM","","Michael Morales","218654","","0","","0","0","","",""
"Bug","38906","SF:218457, DSR Unable To Filter By Different Models - New Cars","0","Medium","Bill Rogalla","","Undecided","04/03/17 01:21 PM","002:FLM","","Michael Morales","218457","","0","","0","0","","",""
"Internal Task","38904","Improve Autoload logging","0","Medium","V-MAX-Engineers","","Undecided","04/01/17 11:55 AM","002:FLM","","Daniel Hillis","","","0","","0","0","","",""
"Internal Defect","38897","Max: CarfaxException  -  ""ReadThroughCache caught an exception""  ","0","High","V-MAX-Engineers","","Undecided","03/31/17 03:23 PM","002:FLM","Christopher Norton","Christopher Norton","","","0","","0","0","","",""
"Bug","38876","MAX/DSR: Color shows as 0781","0","High","V-MAX-PRODUCT","","Undecided","03/29/17 04:40 PM","002:FLM","","Inna Tulika","","","0","","0","0","","",""
"Internal Task","38854","Stackman: Bucket copy progress indicator","0","Medium","V-MAX-DATA-Engineers","","Undecided","03/27/17 05:20 PM","002:FLM","","Dave Speer","","","0","","0","0","","",""
"Feature","38840","SF:217043, Need Ability To Remove Photos From an External Provider","0","Medium","V-MAX-PRODUCT","","Undecided","03/23/17 09:58 PM","002:FLM","","Michael Morales","217043","","0","","0","0","","",""
"Bug","38813","SF:216655, Weekly Overpriced Alert Report Should Be Switched To Profit MAX Data","0","Medium","V-MAX-PRODUCT","","Undecided","03/22/17 03:21 PM","002:FLM","","Michael Morales","216655","","0","","0","0","","",""
"Bug","38805","New Car Pricing Campaign :  error  'Object reference not set to an instance of an object' on creating campaign from MAX Home.","0","Medium","V-MAX-PRODUCT","","Undecided","03/22/17 12:26 PM","002:FLM","","Deepa Ravishankar","","","0","","0","0","","",""
"Feature","38794","SF:216310, Build New Car Price Writeback to Reynolds","0","Medium","V-MAX-PRODUCT","","Undecided","03/21/17 08:33 PM","002:FLM","","Michael Morales","216310","","0","","0","0","","",""
"Internal Defect","38790","FATAL Error when running the ShowroomReportJob","0","Medium","V-MAX-PRODUCT","","Undecided","03/20/17 10:15 PM","002:FLM","","Troy Hemstreet","","","0","","0","0","","",""
"Feature","38784","SF:215904, Build New Car Price Writeback to CDK","0","Medium","V-MAX-PRODUCT","","Undecided","03/17/17 07:04 PM","002:FLM","","Michael Morales","215904","","0","","0","0","","",""
"Bug","38760","UI issue : Print Window sticker, Buyer’s guide drop-down box is not displayed as expected.","0","Medium","Bill Rogalla","","Undecided","03/14/17 01:12 PM","002:FLM","","Abhishek Kumar","","","0","","0","0","","",""
"Bug","38771","SF:213695, DSR not showing Moonroof package in filter drop down selections","0","Medium","V-MAX-PRODUCT","","Undecided","03/15/17 04:26 PM","002:FLM","","Michael Morales","213695","","0","","0","0","","",""
"Bug","38682","Max: Unable to order a Carfax report for the car that has no Carfax","5","Medium","V-MAX-PRODUCT","","Undecided","03/01/17 09:30 PM","002:FLM","","Inna Tulika","","","0","","0","0","","",""
"Bug","38749","SF:213981, Martin Chevy - Omit PKG codes in description","0","Medium","V-MAX-PRODUCT","","Undecided","03/10/17 04:39 PM","002:FLM","","Michael Morales","213981","","0","","0","0","","",""
"Bug","38745","SF:214206, Missing Profit Max Results 2004 Honda Civic Hybrid","0","Medium","V-MAX-PRODUCT","","Undecided","03/10/17 03:21 PM","002:FLM","","Michael Morales","214206","","0","","0","0","","",""
"Bug","38720","SF:213970, Not able to select Body Style in FL app","0","Medium","V-MAX-PRODUCT","","Undecided","03/08/17 03:37 AM","002:FLM","","Michael Morales","213970","","0","","0","0","","",""
"Bug","38713","SF:213719, Sold Vehicle Appearing In Market Listings","0","Medium","V-MAX-PRODUCT","","Undecided","03/07/17 02:35 PM","002:FLM","","Michael Morales","213719","","0","","0","0","","",""
"Bug","38706","SF:213102, Salesperson Able to Log Into Max Mobile Without Max Access and Upload Images","0","Medium","V-MAX-PRODUCT","","Undecided","03/03/17 09:09 PM","002:FLM","","Michael Morales","","","0","","0","0","","",""
"Internal Defect","38701"," Certified benefits are checked in Max Merchandising when Not Certified is selected","0","Medium","V-MAX-PRODUCT","","Undecided","03/03/17 05:26 PM","002:FLM","","Inna Tulika","","","0","","0","0","","",""
"Bug","38627","SF:211112, Vehicle displaying error message in MAX","0","Medium","V-MAX-PRODUCT","","Undecided","02/20/17 10:30 PM","002:FLM","","Michael Morales","211112","","0","","0","0","","",""
